招聘标题,公司名称,工作地点,薪资,链接,工作内容
综合业务拓展员/储备干部/业务助理,中国平安人寿保险股份有限公司沈阳...,沈阳-和平区,0.8-1万/月,http://jobs.51job.com/shenyang-hpq/99560823.html?s=01&t=0,1.为高端客户提供一站式服务；2.执行公司规范语言要求，处理客户异议，详细准确记录客户接触过程和客户信息；3.接受和参加公司和上级领导安排的辅导和训练；任职条件：1.普通话标准，音质佳；2.具有话务类工作经验者优先；薪资结构：1.无责任底薪（2500元）+提奖（12%-20%）+级别津贴（50元-1600元）+福利（寒暑降温费、过节费、生日费、年合计2290元）、人均收入4000元左右；2.属于中国平安正式员工，入职后与中国平安签订正式劳动合同；3.签订劳动合同后享受五险一金保障和员工综合福利保障计划；4.公司提供为期1周的免费岗前培训；个人福利：员工年度体检、每年1-2次免费国内外国际旅游机会；提供节假日费、防暑降温费、取暖费、生日费、孕期基本工资不变，业绩考核降低 。个人发展：1. 公司现在大发展阶段，关注每个员工的发展，为每个层级的员工制定了发展规划：专业路线：助理专员-电销专员- 电销客户中级主任-电销客户高级主任-电销客户经理管理路线：徒弟-师傅- 组长-团队长-现场经理-总监-高级总监此外，电销专员也可向行政管理、人员管理、培训讲师、业务支持管理、市场分析管理等多方向发展2. 公正、公开、透明化的考核制度，可以让您的职业规划的更加清晰。工作时间：每周一至周五上班；每周双休；国家法定假日休息。职能类别： 综合业务拓展员/助理联系电话：17502222108  赵经理关键字： 电话销售 销售代表 销售 客服 电话 晋升快
配送主管,广州市涵怡商贸有限责任公司,广州-越秀区,6-8千/月,http://jobs.51job.com/guangzhou-yxq/99560599.html?s=01&t=0,本公司因业务发展招聘配送调度一名，工作认真负责，时间观念强，对广州熟悉，男女不限，一个月休四天，上班时间早上7点-4点半，月薪5000-6000元，另有计效奖金500-2000元。
餐厅服务员,界杰（上海）餐饮管理有限公司,上海-黄浦区,3-4.5千/月,http://jobs.51job.com/shanghai-hpq/99559914.html?s=01&t=0,1、按照领班安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用。　　2、接待顾客应主动、热情、礼貌、耐心、周到，使顾客有宾至如归之感；　　3、运用礼貌语言，为客人提供***服务，　　4、善于向顾客介绍和推销本餐厅饮品及特色菜点；　　5、配合领班工作，服从领班或以上领导指挥，团结及善于帮助同事工作；　　6、积极参加培训，不断提高服务技能。
电焊工,上海凯工阀门股份有限公司,上海-嘉定区,5-6千/月,http://jobs.51job.com/shanghai-jdq/86696608.html?s=01&t=0,1、熟悉二保焊、氧弧焊、手把焊、埋弧自动焊等电焊操作。2、熟悉阀门加工全过程。3、熟练操作司太立电焊技术，4、有压力容器焊工证者待遇从优。
采购主管/员,广州资乐电气设备有限公司,佛山,6-8千/月,http://jobs.51job.com/foshan/99560815.html?s=01&t=0,"1、负责公司采购工作，包括：询价、比价、签定采购合同、验收、评估及反馈汇总工作；2、调查、分析和评估目标市场，确定需要和采购时机；3、完善公司采购制度，制定并优化采购流程，控制采购质量与成本； 4、3年以上相关行业工作经验；5、拥有空调.热泵行业经验者,优先考虑;"
暖通工程师,山西同聚浩达环境设备有限公司,太原,3-4.5千/月,http://jobs.51job.com/taiyuan/99560600.html?s=01&t=0,技术人员   2名  （暖通专业***优先）负责公司技术方案日常工作。要求：暖通专业，熟悉办公软件、精通CAD绘图。待遇：底薪3000元+绩效奖+年终奖。
售后电工,深圳市信宇人科技股份有限公司,深圳,5.5-6千/月,http://jobs.51job.com/shenzhen/99560603.html?s=01&t=0,1、 有机械设备行业维修调试经验，中专及以上学历；25-36岁；持有电工上岗证。2、能看懂装配图纸及装配要求；3、负责公司产品安装、调试，处理设备的售后服务；4、能适应长期出差，具备良好的服务态度。
销售经理,广州和悦财务咨询有限公司,广州-天河区,0.8-1.2万/月,http://jobs.51job.com/guangzhou-thq/99559167.html?s=01&t=0,岗位职责1、销售管理职位，负责其功能领域内主要目标和计划；2、制定、参与或协助上层执行相关的政策和制度；3、负责部门的日常管理工作及部门员工的管理、指导、培训及评估；4、协助销售总监设置销售目标、销售模式、销售战略、销售预算和奖励计划；5、建立和管理销售队伍，完成销售目标；6、从销售和客户需求的角度，对产品的研发提供指导性建议。任职资格1、专科及以上学历，市场营销等相关专业；2、1年以上销售行业工作经验，有销售管理工作经历者优先；3、具有丰富的客户资源和客户关系，业绩优秀；4、具备较强的市场分析、营销、推广能力和良好的人际沟通、协调能力，分析和解决问题的能力；5、有较强的事业心，具备一定的领导能力。
工业工程师,盈帜科技（常州）有限公司,常州,6-8千/月,http://jobs.51job.com/changzhou/94251840.html?s=01&t=0,"岗位职责：1、负责生产现场标准工时、标准作业、价值流、生产布局、作业优化、管理流程优化等改善工作；2、参与项目效率改善、品质改善方案的调研、制定，负责相关专案的执行；3、负责生产管理制度、流程的编制、优化与实施推进；4、负责生产、运营相关改善课题的研究，参与方案的设计与执行。任职资格:1、IE、机电、机械、电子或相关专业大专及以上学历；2、3年及以上电子制造行业精益生产推进经验；3、具备精益生产相关知识和实践经验；4、具有良好的分析问题、解决问题的能力以及沟通、协调能力；5、认同企业文化，能够承受较强的工作压力，改善意识强烈。						"
人事专员,湖北小林古方生物科技有限公司,武汉-东西湖区,3-4.5千/月,http://jobs.51job.com/wuhan-dxhq/99560822.html?s=01&t=0,岗位职责1、专业人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、推行公司各类规章制度的实施；3、执行人力资源管理各项实务的操作流程和各类规章制度的实施，配合其他业务部门工作；4、管理劳动合同，办理用工、退工手续；5、执行招聘工作流程，协调、办理员工招聘、入职、离职、调任、升职等手续；6、负责管理人力资源相关文件和档案。任职资格1、人力资源或相关专业大专以上学历；2、两年以上人力资源工作经验；3、熟悉人力资源管理各项实务的操作流程，熟悉国家各项劳动人事法规政策，并能实际操作运用；4、具有良好的职业道德，踏实稳重，工作细心，责任心强，有较强的沟通、协调能力，有团队协作精神；5、熟练使用相关办公软件，具备基本的网络知识。
品控经理,浙江七娃食品有限公司,九江,4.5-6千/月,http://jobs.51job.com/jiujiang/99560604.html?s=01&t=0,大专以上，食品专业，有3年以上食品企业相关工作经验，有化验证。
服装跟单员,浙江金薇科技发展有限公司,宁波,3-4.5千/月,http://jobs.51job.com/ningbo/93923783.html?s=01&t=0
线缆产品设计师,长春捷翼汽车零部件有限公司,长春,6-8千/月,http://jobs.51job.com/changchun/99480152.html?s=01&t=0,1、负责公司新能源汽车线缆项目产品的研发设计、材料选用、新产品导入；2、完成产品规格书、物料承认、BOM表等资料建立及完善；3、产品认证维护，包括选型、打样、送检及测试结果跟进；4、指导现场工艺生产，采集原始工艺参数，优化生产流程；5、产品结构设计及优化、成本核算；任职要求1、本科以上学历，机械或线缆制造专业，三年以上产品研发工作经验；2、熟练使用CAD、catia3D软件者更佳；3、熟悉新能源汽车线缆（车充线、汽车内部线束、充电桩线束、充电枪头）产品的研发、设计、认证流程；4、熟悉新能源汽车线缆产品的生产制造流程；5、熟悉产品认证并有实际维护认证经验。
汽车销售顾问,上海凯纳泽汽车有限公司,上海-浦东新区,1-1.5万/月,http://jobs.51job.com/shanghai-pdxq/98259214.html?s=01&t=0
法式甜品师,成都易成汇营销管理咨询有限公司,成都-武侯区,4-6千/月,http://jobs.51job.com/chengdu-whq/99559924.html?s=01&t=0,岗位职责：1、在主厨指导下，认真学习甜品知识，包括设备、材料、品质、制作、流程等；2、在主厨要求下，严格执行新店产品的半成品、成品制作流程，迅速达到独立制作能力；3、辅助主厨进行新品设计、制作研发、厨房管理等各项工作。任职要求：3、辅助主厨进行新品设计、制作研发、厨房管理等各项工作。1、年龄18-30岁，身体健康，品德良好，热爱甜皮行业，具备一年以上经验者优先；2、具备优秀的审美能力，手巧有韧劲，视野开阔，对甜品领域认识独到；3、视修炼西点手艺为事业，有挑战主厨的目标和野心4、服从公司安排。工作时间：每天8小时，每周休息一天；新店开业后接受倒班制任职公司：成都木子白食品有限公司
培训主管,佛山市顺德区巴德富实业有限公司,佛山-顺德区,0.8-1万/月,http://jobs.51job.com/foshan-sdq/99266486.html?s=01&t=0,岗位职责：1、组织实施公司各类培训（内训、外训、岗前培训等）；2、协助领导进行培训管理体系的建立和完善工作，编制、修订相关文件；3、根据企业的战略发展目标、各部门的业务发展需要以及人力资源规划，协助领导制定企业的培训计划；4、负责培训计划的具体执行，组织并安排人员的具体培训任务；5、协助领导进行培训工作的考核和评估；拓展培训渠道和培训资源，积累培训经验和资料，并指导在各部门的落实；6、协助领导开展部门绩效考核工作。岗位要求：1、从事培训模块工作三年以上经验，有深入的理解，能独立开展工作；2、有人力资源的高度和意识，能主动为公司的发展提出可行性建议；3、亲和力强，积极主动，具有良好沟通能力和执行力。福利待遇：8小时工作制，月带薪休假6天，包吃包住、购买社保、带薪年假、工龄奖、年度奖金等；工作地点：顺德勒流
采购专员,光景生物科技(苏州)有限公司,苏州-工业园区,6-8千/月,http://jobs.51job.com/suzhou-gyyq/97232588.html?s=01&t=0,"1. 协助采购经理进行生物化学试剂采购方面的工作；2. 遵循适价、适时、适量的采购原则，组织工程和品管人员对供应商进行评审和考核，并及时更新相关的《合格供应商一览表》；3. 追踪外发加工产品全部回仓及跟进外发余料库存情况；4. 对重点物料进行重点跟进并及时解决到料异常；5. 协助采购经理进行供应商的联络、接待工作；6. 协助财务中心做好对帐工作；7. 定期或不定期向采购经理汇报工作；8. 负责制作并管理出入库单据及其他仓库管理单据；9、 服从上级临时安排的其它工作。任职要求：1、 生物技术、药学、生物化学专科以上，采购工作经验2年以上或同行业三年以上工作经验，英文阅读能力较强；2、 熟悉财务和采购管理系统软件者优先；3、有报关报检经验者优先；3、 身体健康,能吃苦耐劳,并有良好的服务意识；4、 性格乐观开朗、服务意识和团队协作能力强，良好的沟通表达能力；5、 有较强的谈判沟通能力，熟悉电脑操作；6、 有一定的成本概念，工作责任心强，具备良好的职业道德。"
技术员,武汉古河汽车系统有限公司,武汉-汉南区,4.5-6千/月,http://jobs.51job.com/wuhan-hnq/99560605.html?s=01&t=0,武汉古河汽车系统有限公司 由日本古河AS株式会社及日本古河电工株式会社在武汉投资设立的日本独资公司，主要产品是汽车零部件、汽车线束及车身电子控制系统，投资总金额1500万美元，2013年10月25日注册成立。古河集团在日本有120多年历史，现因生产需要，招聘设备维保员一名。 招聘要求：1.年龄：25-35岁以下，高中以上学历。2.具有2年以上设备管理经验，备品在库管理经验。3.吃苦耐劳，工作认真、有责任心，沟通能力强。岗位职责：1.主要负责现场后工程设备管理、设备点检及维修。工作地址 :武汉市汉南区纱帽街幸福工业园幸福园路22号  联系电话：027-84391223-505联系人：郑小姐
眼镜店营业员,黑龙江省慈恩医疗科技开发有限公司,哈尔滨-南岗区,3-8千/月,http://jobs.51job.com/hadongbin-ngq/95937178.html?s=01&t=0,招聘职位：眼镜店营业员  招聘人数：5人  薪资待遇：3000-8000岗位职责：1、负责眼镜及相关产品的销售；任职资格：1、会验光，有眼镜销售经验，必须有眼镜验光员证书；2、有丰富的终端导购经验；3、热爱销售行业；4、性格大方热情，反应敏捷、表达能力强，具有较强的沟通能力及亲和力；5、有责任心，能承受一定的工作压力。工作地址：1、农业大学2、黑龙江大学院里3、信恒现代城靓园面试地址：南岗区信恒现代城豪园d栋1单元1001室咨询电话：0451-58976891（早8：30-晚17：30 周日除外）
亚马逊  外贸业务  B2C电商运营,深圳市优普科技有限公司,深圳,5.9-7.9千/月,http://jobs.51job.com/shenzhen/77508187.html?s=01&t=0,"岗位职责：1、相关工作：制定并执行Amazon平台销售策略和方案；2、管理Amazon账户，制定店铺销售计划、产品上架；3、收集和分析市场现状及竞争对手情况，定期统计销售数据，并提出改良方案；4、产品销售分析，客户购买心理分析等，生成采购需求报告；5、挖掘新品，经确认引进后，对新品的销售进行跟踪，并提出可行性建议。任职资格：1、欢迎优秀应届毕业生，无经验不要紧，从学生做起，公司会有内部培训，欢迎学习能力强的同学！2、国际贸易，商务英语，电子商务等专业优先考虑；英语口语和读写能力优秀；书面表达能力强；大学英语四级或以上。3、具有较强的沟通谈判技巧，协调能力和良好在业务拓展能力（可以慢慢培养）4、能认同公司企业文化和价值观；5、能承受一定的工作压力，具有较强的事业心，对公司忠诚，有责任感；6、有良好的人际关系，工作积极主动，爱岗敬业，做事有韧性；地址：深圳市宝安区福永镇福园一路濠成（和平）工业园A2栋3楼 （11号线福永站，桥头站）* 上班时间（周一至周六上午， 周六下午是团队活动和学习时间）8:30-12:00 13:30-18:00 （8小时）* 周日休息注：1、我们注重团队合作和分享！良好的工作氛围是我们共同追求的，让你我一起创造和经营。2、无意向长期工作、好高骛远者，为节约大家时间还请勿投，谢谢合作。3、另外，我们还有B2B电商团队（alibaba），国内B2B/B2C（1688，淘宝），对此岗位感兴趣的同学也欢迎加入4、公司主营音响，K歌音响，智能机顶盒等， 有K歌体验室， 欢迎爱好唱歌的你！我们团队多为90后 ，有活力，有朝气，有创新的年轻人，如果你跟我们一样有梦想，也想创造属于自己的巅峰成绩，欢迎你的加入！						"
诚聘防水材料销售经理,安徽盛欣建设工程有限公司,合肥,4.5-6千/月,http://jobs.51job.com/hefei/99560811.html?s=01&t=0,1、寻找销售机会完成销售业绩2、定期与客户进行沟通，建立长期的合作关系任职资格：1、普通话标准，沟通流利2、具有较强的学习能力和沟通能力3、由建造师职位证书者及有建材行业销售经验者优先录取。有意向者欢迎投递简历
行政司机,陕西华能石油工程有限公司,西安,3-4.5千/月,http://jobs.51job.com/xian/99560810.html?s=01&t=0,高中以上学历，5年以上开车经验，能长期出差，吃苦耐劳，责任心强、具有较强的团队意识和合作精神。陕西华能石油工程有限公司成立于2007年7月，注册资本叁仟万元整。主要经营范围包括化工石油工程、房屋建筑工程、公路工程、机电设备安装工、电力工程以及管道工程的施工。经过几年的发展，公司目前已经承接了上千万的大中型项目，均获得客户的满意和认可，发展势头良好。公司制度完善，享受双休、国家法定节假日、年休假等，福利待遇优厚。公司地址：西安市未央区凤城二路第五国际大厦A座20层2004室 公司联系方式：029-86199396
（国企招聘）商务专员,山东正晨科技股份有限公司,济南-高新区,4.5-6千/月,http://jobs.51job.com/jinan-gxq/99560606.html?s=01&t=0,1、工程项目的考察与跟踪工作；     2、与客户的商务谈判； 3、招标信息收集、工程报名、招标文件购买、开标等工作； 4、投标文件的制作； 5、部门领导交办的其他工作。任职要求：            1、本科及以上学历，理工类相关专业，有建造师证书者优先；2、熟悉招投标流程，知晓税务、工商等相关知识； 3、有良好的组织协调及沟通能力，较强的分析、解决问题能力； 4、能适应加班及短时间出差。
销售代表,广东三雄极光照明股份有限公司,济南,5-8千/月,http://jobs.51job.com/jinan/93925130.html?s=01&t=0,岗位职责1、销售人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、管理客户关系，完成销售任务；3、了解和发掘客户需求及购买愿望，介绍自己产品的优点和特色；4、对客户提供专业的咨询；5、收集潜在客户资料；6、协助维护各家居店面的销售工作。任职资格1、专科及以上学历，市场营销等相关专业；2、性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；3、具备一定的市场分析及判断能力，良好的客户服务意识；4、有责任心，能承受较大的工作压力。5、年龄在24岁左右。
隔声降噪工程师,赢胜节能集团有限公司,异地招聘,15-20万/年,http://jobs.51job.com/taixing/80235383.html?s=01&t=0,1、在声学行业有过相关工作经验2、发表过专业论文或者有一定的研发专利的经验等
淘宝美工,上海沿啡国际贸易有限公司,异地招聘,3-4.5千/月,http://jobs.51job.com/suzhou/99559171.html?s=01&t=0,"岗位职责1、对产品进行拍摄并对图片进行后期美化处理；2、负责结合产品特性制作图文并茂、有美感、能引起关注的描述模板，充分展现产品形象与特点；3、定期制作促销图片和页面，配合店铺销售活动，美化修改产品页面；4、根据活动和季节定期更新店铺视觉，突出和强调产品独特卖点，传递其价值主张；5、制作各种网络广告和海报图片，并配合与产品推广有关的其它工作的执行；6、协助设计主管进行基础的产品平面设计，包装设计。任职资格1、有1年以上平面设计或网店美工、宝贝详情页设计经验；2、有较强的美术功底和出色的网页平面设计审美功力；3、并具有较好的审美观及美感意识；4、精通Photoshop、AI或coreldraw等相关设计软件应用；对天猫和微商后台熟悉；5、工作积极认真，执行力强，良好的沟通协调能力和团队合作意识。						"
司机,珠江富士电梯（中国）有限公司,佛山,4.5-6千/月,http://jobs.51job.com/foshan/99560819.html?s=01&t=0,岗位职责：1、大巴车接送员工上下班               2、小型货车运输生产物料               3、负责车内的清洁卫生及爱惜车辆要求：1、熟悉佛山市路况2、持有B1牌驾照3、有相关工作经验
秘书/文员/办公室文员/助理/人事文员,上海傲升国际贸易有限公司,北京,5-8千/月,http://jobs.51job.com/beijing/99559934.html?s=01&t=0,岗位职责：1.	协助经理做好公司管理及公司各项制度的执行工作2.	负责公司各类制度的上传下达3.	负责项目相关文件的档案管理4.	办公室日常行政管理运作5.	完成上级领导交给的其他事务性工作任职资格：1、大专及以上学历，无经验亦可，欢迎应届生；2、具有较强的沟通能力及交际技巧，具有亲和力；				3、工作仔细认真、责任心强、为人正直。福利待遇：1.	法定节假日，带薪年假；2.	员工聚餐等。3.	公平，公正，公开的考核制度，可以让员工的职业规划更加清晰。福利待遇： 五险一金 年底双薪 全勤奖 带薪年假 节日福利
微信公众号运营,武汉佰乐分消费信息服务有限公司,武汉-硚口区,3.5-4.5千/月,http://jobs.51job.com/wuhan-qkq/99266063.html?s=01&t=0,
质检员,柳州仙源汽车材料制造有限公司,柳州,2-3千/月,http://jobs.51job.com/liuzhou/98002376.html?s=01&t=0,"岗位职责：任职资格：1.***、40岁以下，相关专业2.有化验检测相关工作经验1年以上3.熟悉办公软件操作4.吃苦耐劳工作时间：早上8：00-下午17:00						"
销售代表轻松过万,济南易铺通电子科技有限公司,济南,6-8千/月,http://jobs.51job.com/jinan/93264833.html?s=01&t=0,"岗位职责1.通过网上帖子寻找意向客户，通过电话约客户；2.通过外出见客户，为客户介绍公司服务，解除客户疑虑，促成交易，签单；3.与客户建立良好的合作关系，维护好老客户，开发新客户；任职资格：1.中专/大专以上学历；2.服从安排，会简单的电脑办公软件的操作；3.有较强的沟通及应变能力；薪资待遇：1.底薪＋提成+奖金+销售冠军现金奖+优先完成任务奖+补贴+全勤奖+员工福利2.每年组织两次正式员工旅游；3.员工生日福利补贴，聚餐等等；加入我们房媒婆网1.既可享有舒适的办公环境，也可有广阔的晋升空间；2.这里没有尔虞我诈的勾心斗角，有的只是简单易处的家人朋友关心；3.我们公司都是朝气蓬勃的年轻人，充满正能量，能学到更多的宝贵经验。联系方式：高老师18560026308						"
技术专员（江津区）,重庆南地科技开发有限公司,重庆-江津区,3.5-3.7千/月,http://jobs.51job.com/chongqing-jjq/99559172.html?s=01&t=0,岗位职责：1、负责部门电梯卫士安装、维护、巡检；2、负责部门车务通安装、维护；3、负责专业监测设备安装维护；4、负责部门除湿设备安装维护；5、负责部门移动拨测；任职要求：1、中专以上学历；2、知识技能：熟悉车辆电路、电梯构造、专业设备优先；3、工作细致、思维敏捷，有责任心，对人热情，有较强的沟通能力。
家装设计师,东山县铜陵镇西联厨具店,漳州,3-4.5千/月,http://jobs.51job.com/zhangzhou/99393586.html?s=01&t=0,岗位职责1、参与公司装饰工程项目的设计管理；2、负责装修施工质量管理、招投标管理；3、参加方案设计、初步设计、施工图设计审核；4、负责对项目进行跟踪和监督；5、应协助材料部对装修项目材料进行确认工作；6、负责案例，技术及资源的整理。任职资格1、装饰设计、室内外设计等相关专业本科以上学历；2、两年以上相关工作经验，有大中型项目设计经验者优先考虑；3、有较强的视觉搭配能力，能熟练操作AutoCAD、PowerPoint、Photoshop等软件；4、学习能力强、热爱设计工作、有创新精神；5、善于沟通，表达能力强，有团队精神。联系人：洪经理18105965865
ISO9000质量管理员,深圳神彩物流有限公司,深圳-龙华新区,3-4.5千/月,http://jobs.51job.com/shenzhen-lhxq/99105257.html?s=01&t=0,招聘岗位职责：1. 协助维护公司ISO9000体系文件。 2. 跟进已发现的问题进行整改。 3.监督各部门按照质量管理体系文件有关规定开展工作，实施公司的质量方针和质量目标 4.就公司有关质量管理体系方面的业务与认证中心沟通协调 5.及时发现个部门在实施质量管理体系中存在的问题。 6.将需要改进之处及时与领导进行沟通  岗位要求（教育、经验、技能等）：1. 熟悉ISO9000质量管理体系。 2. 有生产工厂质量体系操作经验。 3. 工作认真执着，电脑操作熟练 
阿里云销售,完美网络,武汉-江汉区,3-8千/月,http://jobs.51job.com/wuhan-jhq/98835624.html?s=01&t=0,1、学习阿里云知识；2、通过电话与客户进行有效沟通，了解客户需求， 寻找销售机会并完成销售业绩；3、维护老客户的业务，挖掘客户的最大潜力；4、定期与合作客户进行沟通，建立良好的长期合作关系。任职要求：1、口齿清晰，普通话流利，语音富有感染力；2、对销售工作有较高的热情；3、具备较强的学习能力和优秀的沟通能力；4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力；5、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度，有相关电话销售工作经验者优先。工作时间：8:30-17:30，周末双休福利待遇:一、基本福利：1、五险：公司为员工缴纳社会保险。2、节日礼金：公司为正式员工在相应的节日发放红包、礼金、物品等。3、生小孩：正式员工生子，公司将带礼品前往探望慰问并发送祝福信息以表祝贺。4、喜金：正式员工结婚公司将给予一定金额的喜金，并发送祝福信息以表祝贺。5、慰问金：正式员工大病住院或直系亲属（父母、公婆、配偶、子女)去世，公司将致一定金额的物品或奠仪以示慰问。二、薪酬与奖金：公司有健全的职业发展规划体系，为员工搭建职业发展的空间与平台，给员工提供了施展才华的舞台。1、加薪：公司每年定期为工作满1年的员工加薪。2、调薪：对业绩优秀的员工给予认可及奖励，使员工能够获得晋职、晋级发展机会。3、推荐奖：员工为公司推荐合适人员转正后，公司将给予推荐者一定金额的奖金。4、优秀奖励：公司定期开展评奖评优活动，鼓励员工不断创造佳绩，与公司共同成长发展。三、假期：1、员工享有国家法定节假日。2、正式员工享受带薪假期（年假、婚、丧、产假、陪产假）。3、在各种国定假期到来之际，公司会发送各类祝福及提醒信息，为员工送去关怀与祝福，祝福员工节日快乐。四、活动：1、活动经费：主要用于部门集体活动及成长学习，按照每人每年一定金额的标准发放到部门。2、公司每年将根据当年的实际情况安排员工集体文娱活动（年会、拓展、聚餐、各类活动等等），员工在积极参加各类活动的同时，能够充分发挥和施展自已的才艺，共同营造和谐、向上的工作氛围。其它相关福利建设中…………！！！公司以低调务实的企业文化，优雅舒适的办公环境、简单的人际关系、注重新人培养等等，在此，我们诚挚邀请并期待您的加入～～！应聘本职位可直接拨打电话咨询：027-85771890
人事经理,宁波爱租网络科技有限公司,宁波,12-18万/年,http://jobs.51job.com/ningbo/87345756.html?s=01&t=0,"岗位要求：    1、根据公司和行业发展，完善公司薪资及考核激励体系并负责实施；    2、根据公司年度发展计划，制定人力资源规划方案，组织实施并监督执行；    3、制定招聘方案，优化渠道，对候选人进行测评，达到人岗匹配；    4、落实年度培训需求分析，编制年度培训计划及分解实施；任职资格：1、 大专及以上学历，工商管理、人力资源等相关毕业；2、40岁以下， 8年以上大型知名企业人力资源工作经验，3年以上同等岗位管理工作经验，有大型连锁行业或服务业等相关领域者优先；3、 具有较强的逻辑思维能力及分析、处理、应变、解决问题的工作能力；4、 亲和力佳，具有较强的沟通能力、协调能力和团队合作能力，愿意与公司共进退；						"
财务部副经理,东莞市能源投资集团有限公司,东莞,1-1.5万/月,http://jobs.51job.com/dongguan/79920991.html?s=01&t=0,"1、以集团价值创造为首任、以集团服务为重心，协助传递集团制度与文化；2、统筹和组织公司的会计核算、纳税管理、资金管理、财务预算、财务分析工作以及财务团队管理；3、培育集团财务人员、收集投资经营决策信息、提出财务专业意见和建议；4、加强与银行、税务等相关部门的联系，做好相关衔接工作；5、集团体系财务流程制度的持续优化与督导等。任职要求：1、具有大学本科以上文化程度；具备财务业务实施和管理能力、掌握经济法、税法、财经管理、现代金融等知识；中级会计师，有注册会计师资格证书优先；2、熟悉财经法规，具3年以上集团公司财务经理工作经验，能够独立统筹财务部日常相关工作；薪资按个人具体能力而定。						"
外贸会计,淄博嘉茂物资有限公司,淄博,2.5-5千/月,http://jobs.51job.com/zibo/99560611.html?s=01&t=0,岗位职责： 1、协助财务经理制定工作计划及有关财务制度；2、按照企业会计制度规定和会计业务的实际需要确定会计核算方法、核算原则，设置账务核算体系；3、及时客观公正的进行账务和结算工作，及时进行会计核算、账务处理。负责编制公司月度、年度会计报表、会计决算和利润分配等核算工作；4、做好会计监督工作，严格按照国家的财经法规和企业规章制度进行审批核算；5、审查或参与拟定经济合同或其他经济文件，保障合同符合国家法律法规，保障公司合法利益；6、编写财务报告，及时向领导汇报财务工作；7、组织学习，提高会计人员的业务水平；                                 岗位要求： 1、具有大专以上文化程度、会计从业资格证书和相应会计专业技术资格；2、参加管理学、经济法、产品知识等方面的培训，熟悉国家的财经法律、法规、规章和方针、政策；3、有较强的组织能力和工作责任感、事业心；4、具有1年以上企业财务工作经验；5、有外贸公司工作经验，能自主办理退税等手续。                             
业务经理,郑州市东仪机电设备有限公司,郑州,0.8-1万/月,http://jobs.51job.com/zhengzhou/91049684.html?s=01&t=0,"岗位职责1、依据部门销售目标，制定并执行销售计划；2、对重要客户进行开拓、沟通与管理，制定合作方案；3、建设、管理团队，负责下属培训、监督、考核；4、协助上级开拓、沟通和管理各区域的重要客户；5、配合上级完成其他的日常工作。任职资格1、大专及以上学历，；2、有1年以上的销售工作经验；3、具有较强的管理领导能力、责任心及抗压能力，沟通能力强、懂得商业谈判，有亲和力和团队协作精神。						"
体检部市场外联人员+体检部销售人员,沈阳消防烧伤专科医院,沈阳-和平区,3-4.5千/月,http://jobs.51job.com/shenyang-hpq/99560609.html?s=01&t=0,1、营销或有体检中心市场外联经验2、专业，敬业，诚信3、良好形象
会计,EF英孚教育,沈阳-和平区,3-4.5千/月,http://jobs.51job.com/shenyang-hpq/99560825.html?s=01&t=0,岗位职责：1、完成会计日常事务性工作，协助处理帐务及公司的日常报销工作；2、负责财务单据复核和发票管理；3、传递和整理相关财务资料和文件；4、协助财会文件的准备、归档和保管；5、统计、登记、保管各类报表和凭证；6、完成上级交给的其它工作。任职要求：1.财务等相关专业本科以上学历，有会计从业资格证书，一年以上财务工作经验；2.对出纳、统计、记账、核算等系列工作娴熟，具备一定税务知识；3.熟练使用财务软件，熟练应用办公软件；4.善于处理流程性事务、良好的学习能力、独立工作能力和财务分析能力；5.工作细致，责任感强，良好的沟通能力、团队精神。
检验员,苏州莱易精密机电有限公司,苏州-相城区,4.5-6千/月,http://jobs.51job.com/suzhou-xcq/96847217.html?s=01&t=0,1.定期巡检产线产品，并做好检验记录；2.能跟随车间两班制（工作时间：6天10小时）；3.有2年以上机加工检验工作经验；4.熟悉机械图纸，能熟练使用检测工具。
预算员,南京领先环保技术股份有限公司,南京,0.6-1万/月,http://jobs.51job.com/nanjing/74560813.html?s=01&t=0,任职资格： 1、3年以上工程造价工作经验  ； 2、本科以上学历，有造价员证书优先； 3、能够熟悉掌握工程造价的管理规定，熟悉工程图纸，掌握工程概算及预算定额及有关政策规定；4、有设计院从业经验优先。岗位职责： 1、协助做好工程项目的立项申报，项目成本数据分析； 2、参与技术标与商务标制作，参与投标。
物业内勤,江苏向正物业管理服务有限公司,南京,2-3千/月,http://jobs.51job.com/nanjing/99559936.html?s=01&t=0,岗位职责：1、负责员工入职、离职等手续的办理；2、负责项目物资的管理、请购；走工作流程；3、负责制作日报、定期交账、现金管理、更新台账等工作；任职要求：2、逻辑思维能力强；3、熟练使用办公软件、APP软件；4、无经验可培训；工作时间：08:30至17:30 单双休
